,timestamp,SOSC Position
0,2020-06-11 01:00:00,0.0
1,2020-06-11 02:00:00,0.0
2,2020-06-11 03:00:00,0.0
3,2020-06-11 04:00:00,0.0
4,2020-06-11 05:00:00,0.0
5,2020-06-11 06:00:00,0.0
6,2020-06-11 07:00:00,0.0
7,2020-06-11 08:00:00,0.0
8,2020-06-11 09:00:00,0.0
9,2020-06-11 10:00:00,0.0
10,2020-06-11 11:00:00,0.0
11,2020-06-11 12:00:00,0.0
12,2020-06-11 13:00:00,0.0
13,2020-06-11 14:00:00,0.0
14,2020-06-11 15:00:00,0.0
15,2020-06-11 16:00:00,0.0
16,2020-06-11 17:00:00,0.0
17,2020-06-11 18:00:00,0.0
18,2020-06-11 19:00:00,0.0
19,2020-06-11 20:00:00,0.0
20,2020-06-11 21:00:00,0.0
21,2020-06-11 22:00:00,0.0
22,2020-06-11 23:00:00,0.0
23,2020-06-12 00:00:00,1.0
24,2020-06-12 01:00:00,1.0
25,2020-06-12 02:00:00,1.0
26,2020-06-12 03:00:00,1.0
27,2020-06-12 04:00:00,0.0
28,2020-06-12 05:00:00,0.0
29,2020-06-12 06:00:00,0.0
30,2020-06-12 07:00:00,0.0
31,2020-06-12 08:00:00,-1.0
32,2020-06-12 09:00:00,-1.0
33,2020-06-12 10:00:00,-1.0
34,2020-06-12 11:00:00,0.0
35,2020-06-12 12:00:00,0.0
36,2020-06-12 13:00:00,0.0
37,2020-06-12 14:00:00,0.0
38,2020-06-12 15:00:00,0.0
39,2020-06-12 16:00:00,0.0
40,2020-06-12 17:00:00,0.0
41,2020-06-12 18:00:00,0.0
42,2020-06-12 19:00:00,0.0
43,2020-06-12 20:00:00,0.0
44,2020-06-12 21:00:00,1.0
45,2020-06-12 22:00:00,0.0
46,2020-06-12 23:00:00,0.0
47,2020-06-13 00:00:00,0.0
48,2020-06-13 01:00:00,1.0
49,2020-06-13 02:00:00,0.0
50,2020-06-13 03:00:00,0.0
51,2020-06-13 04:00:00,1.0
52,2020-06-13 05:00:00,1.0
53,2020-06-13 06:00:00,1.0
54,2020-06-13 07:00:00,1.0
55,2020-06-13 08:00:00,0.0
56,2020-06-13 09:00:00,0.0
57,2020-06-13 10:00:00,0.0
58,2020-06-13 11:00:00,0.0
59,2020-06-13 12:00:00,0.0
60,2020-06-13 13:00:00,0.0
61,2020-06-13 14:00:00,0.0
62,2020-06-13 15:00:00,0.0
63,2020-06-13 16:00:00,0.0
64,2020-06-13 17:00:00,-1.0
65,2020-06-13 18:00:00,-1.0
66,2020-06-13 19:00:00,-1.0
67,2020-06-13 20:00:00,-1.0
68,2020-06-13 21:00:00,-1.0
69,2020-06-13 22:00:00,-1.0
70,2020-06-13 23:00:00,0.0
71,2020-06-14 00:00:00,0.0
72,2020-06-14 01:00:00,0.0
73,2020-06-14 02:00:00,0.0
74,2020-06-14 03:00:00,0.0
75,2020-06-14 04:00:00,0.0
76,2020-06-14 05:00:00,0.0
77,2020-06-14 06:00:00,1.0
78,2020-06-14 07:00:00,1.0
79,2020-06-14 08:00:00,1.0
80,2020-06-14 09:00:00,0.0
81,2020-06-14 10:00:00,0.0
82,2020-06-14 11:00:00,0.0
83,2020-06-14 12:00:00,0.0
84,2020-06-14 13:00:00,1.0
85,2020-06-14 14:00:00,1.0
86,2020-06-14 15:00:00,1.0
87,2020-06-14 16:00:00,1.0
88,2020-06-14 17:00:00,1.0
89,2020-06-14 18:00:00,0.0
90,2020-06-14 19:00:00,0.0
91,2020-06-14 20:00:00,0.0
92,2020-06-14 21:00:00,0.0
93,2020-06-14 22:00:00,0.0
94,2020-06-14 23:00:00,0.0
95,2020-06-15 00:00:00,1.0
96,2020-06-15 01:00:00,0.0
97,2020-06-15 02:00:00,1.0
98,2020-06-15 03:00:00,0.0
99,2020-06-15 04:00:00,1.0
100,2020-06-15 05:00:00,1.0
101,2020-06-15 06:00:00,1.0
102,2020-06-15 07:00:00,1.0
103,2020-06-15 08:00:00,1.0
104,2020-06-15 09:00:00,0.0
105,2020-06-15 10:00:00,0.0
106,2020-06-15 11:00:00,0.0
107,2020-06-15 12:00:00,0.0
108,2020-06-15 13:00:00,0.0
109,2020-06-15 14:00:00,0.0
110,2020-06-15 15:00:00,0.0
111,2020-06-15 16:00:00,0.0
112,2020-06-15 17:00:00,0.0
113,2020-06-15 18:00:00,0.0
114,2020-06-15 19:00:00,0.0
115,2020-06-15 20:00:00,-1.0
116,2020-06-15 21:00:00,-1.0
117,2020-06-15 22:00:00,-1.0
118,2020-06-15 23:00:00,-1.0
119,2020-06-16 00:00:00,-1.0
120,2020-06-16 01:00:00,-1.0
121,2020-06-16 02:00:00,0.0
122,2020-06-16 03:00:00,0.0
123,2020-06-16 04:00:00,0.0
124,2020-06-16 05:00:00,0.0
125,2020-06-16 06:00:00,0.0
126,2020-06-16 07:00:00,0.0
127,2020-06-16 08:00:00,0.0
128,2020-06-16 09:00:00,-1.0
129,2020-06-16 10:00:00,-1.0
130,2020-06-16 11:00:00,-1.0
131,2020-06-16 12:00:00,-1.0
132,2020-06-16 13:00:00,0.0
133,2020-06-16 14:00:00,0.0
134,2020-06-16 15:00:00,0.0
135,2020-06-16 16:00:00,0.0
136,2020-06-16 17:00:00,0.0
137,2020-06-16 18:00:00,0.0
138,2020-06-16 19:00:00,0.0
139,2020-06-16 20:00:00,0.0
140,2020-06-16 21:00:00,0.0
141,2020-06-16 22:00:00,0.0
142,2020-06-16 23:00:00,0.0
143,2020-06-17 00:00:00,0.0
144,2020-06-17 01:00:00,0.0
145,2020-06-17 02:00:00,1.0
146,2020-06-17 03:00:00,1.0
147,2020-06-17 04:00:00,1.0
148,2020-06-17 05:00:00,1.0
149,2020-06-17 06:00:00,1.0
150,2020-06-17 07:00:00,1.0
151,2020-06-17 08:00:00,1.0
152,2020-06-17 09:00:00,-1.0
153,2020-06-17 10:00:00,-1.0
154,2020-06-17 11:00:00,0.0
155,2020-06-17 12:00:00,0.0
156,2020-06-17 13:00:00,0.0
157,2020-06-17 14:00:00,0.0
158,2020-06-17 15:00:00,0.0
159,2020-06-17 16:00:00,0.0
160,2020-06-17 17:00:00,0.0
161,2020-06-17 18:00:00,0.0
162,2020-06-17 19:00:00,0.0
163,2020-06-17 20:00:00,0.0
164,2020-06-17 21:00:00,0.0
165,2020-06-17 22:00:00,-1.0
166,2020-06-17 23:00:00,-1.0
167,2020-06-18 00:00:00,0.0
168,2020-06-18 01:00:00,0.0
169,2020-06-18 02:00:00,0.0
170,2020-06-18 03:00:00,0.0
171,2020-06-18 04:00:00,0.0
172,2020-06-18 05:00:00,0.0
173,2020-06-18 06:00:00,0.0
174,2020-06-18 07:00:00,0.0
175,2020-06-18 08:00:00,0.0
176,2020-06-18 09:00:00,0.0
177,2020-06-18 10:00:00,0.0
178,2020-06-18 11:00:00,0.0
179,2020-06-18 12:00:00,0.0
180,2020-06-18 13:00:00,0.0
181,2020-06-18 14:00:00,0.0
182,2020-06-18 15:00:00,0.0
183,2020-06-18 16:00:00,0.0
184,2020-06-18 17:00:00,0.0
185,2020-06-18 18:00:00,0.0
186,2020-06-18 19:00:00,0.0
187,2020-06-18 20:00:00,0.0
188,2020-06-18 21:00:00,0.0
189,2020-06-18 22:00:00,0.0
190,2020-06-18 23:00:00,0.0
191,2020-06-19 00:00:00,0.0
192,2020-06-19 01:00:00,0.0
193,2020-06-19 02:00:00,0.0
194,2020-06-19 03:00:00,0.0
195,2020-06-19 04:00:00,0.0
196,2020-06-19 05:00:00,0.0
197,2020-06-19 06:00:00,0.0
198,2020-06-19 07:00:00,0.0
199,2020-06-19 08:00:00,0.0
200,2020-06-19 09:00:00,0.0
201,2020-06-19 10:00:00,0.0
202,2020-06-19 11:00:00,0.0
203,2020-06-19 12:00:00,0.0
204,2020-06-19 13:00:00,0.0
205,2020-06-19 14:00:00,0.0
206,2020-06-19 15:00:00,1.0
207,2020-06-19 16:00:00,1.0
208,2020-06-19 17:00:00,0.0
209,2020-06-19 18:00:00,0.0
210,2020-06-19 19:00:00,1.0
211,2020-06-19 20:00:00,1.0
212,2020-06-19 21:00:00,0.0
213,2020-06-19 22:00:00,0.0
214,2020-06-19 23:00:00,0.0
215,2020-06-20 00:00:00,0.0
216,2020-06-20 01:00:00,0.0
217,2020-06-20 02:00:00,0.0
218,2020-06-20 03:00:00,0.0
219,2020-06-20 04:00:00,0.0
220,2020-06-20 05:00:00,0.0
221,2020-06-20 06:00:00,0.0
222,2020-06-20 07:00:00,-1.0
223,2020-06-20 08:00:00,-1.0
224,2020-06-20 09:00:00,-1.0
225,2020-06-20 10:00:00,0.0
226,2020-06-20 11:00:00,-1.0
227,2020-06-20 12:00:00,0.0
228,2020-06-20 13:00:00,-1.0
229,2020-06-20 14:00:00,-1.0
230,2020-06-20 15:00:00,-1.0
231,2020-06-20 16:00:00,0.0
232,2020-06-20 17:00:00,0.0
233,2020-06-20 18:00:00,0.0
234,2020-06-20 19:00:00,0.0
235,2020-06-20 20:00:00,0.0
236,2020-06-20 21:00:00,0.0
237,2020-06-20 22:00:00,0.0
238,2020-06-20 23:00:00,0.0
239,2020-06-21 00:00:00,0.0
240,2020-06-21 01:00:00,0.0
241,2020-06-21 02:00:00,0.0
242,2020-06-21 03:00:00,0.0
243,2020-06-21 04:00:00,0.0
244,2020-06-21 05:00:00,0.0
245,2020-06-21 06:00:00,0.0
246,2020-06-21 07:00:00,0.0
247,2020-06-21 08:00:00,0.0
248,2020-06-21 09:00:00,0.0
249,2020-06-21 10:00:00,0.0
250,2020-06-21 11:00:00,0.0
251,2020-06-21 12:00:00,0.0
252,2020-06-21 13:00:00,0.0
253,2020-06-21 14:00:00,0.0
254,2020-06-21 15:00:00,0.0
255,2020-06-21 16:00:00,0.0
256,2020-06-21 17:00:00,0.0
257,2020-06-21 18:00:00,0.0
258,2020-06-21 19:00:00,0.0
259,2020-06-21 20:00:00,0.0
260,2020-06-21 21:00:00,0.0
261,2020-06-21 22:00:00,0.0
262,2020-06-21 23:00:00,-1.0
263,2020-06-22 00:00:00,-1.0
264,2020-06-22 01:00:00,-1.0
265,2020-06-22 02:00:00,0.0
266,2020-06-22 03:00:00,-1.0
267,2020-06-22 04:00:00,0.0
268,2020-06-22 05:00:00,-1.0
269,2020-06-22 06:00:00,-1.0
270,2020-06-22 07:00:00,0.0
271,2020-06-22 08:00:00,-1.0
272,2020-06-22 09:00:00,-1.0
273,2020-06-22 10:00:00,0.0
274,2020-06-22 11:00:00,0.0
275,2020-06-22 12:00:00,0.0
276,2020-06-22 13:00:00,0.0
277,2020-06-22 14:00:00,0.0
278,2020-06-22 15:00:00,0.0
279,2020-06-22 16:00:00,0.0
280,2020-06-22 17:00:00,0.0
281,2020-06-22 18:00:00,0.0
282,2020-06-22 19:00:00,0.0
283,2020-06-22 20:00:00,0.0
284,2020-06-22 21:00:00,0.0
285,2020-06-22 22:00:00,0.0
286,2020-06-22 23:00:00,0.0
287,2020-06-23 00:00:00,0.0
288,2020-06-23 01:00:00,-1.0
289,2020-06-23 02:00:00,0.0
290,2020-06-23 03:00:00,0.0
291,2020-06-23 04:00:00,0.0
292,2020-06-23 05:00:00,0.0
293,2020-06-23 06:00:00,0.0
294,2020-06-23 07:00:00,0.0
295,2020-06-23 08:00:00,0.0
296,2020-06-23 09:00:00,0.0
297,2020-06-23 10:00:00,-1.0
298,2020-06-23 11:00:00,0.0
299,2020-06-23 12:00:00,-1.0
300,2020-06-23 13:00:00,-1.0
301,2020-06-23 14:00:00,0.0
302,2020-06-23 15:00:00,-1.0
303,2020-06-23 16:00:00,-1.0
304,2020-06-23 17:00:00,0.0
305,2020-06-23 18:00:00,0.0
306,2020-06-23 19:00:00,0.0
307,2020-06-23 20:00:00,0.0
308,2020-06-23 21:00:00,0.0
309,2020-06-23 22:00:00,-1.0
310,2020-06-23 23:00:00,-1.0
311,2020-06-24 00:00:00,-1.0
312,2020-06-24 01:00:00,-1.0
313,2020-06-24 02:00:00,-1.0
314,2020-06-24 03:00:00,-1.0
315,2020-06-24 04:00:00,0.0
316,2020-06-24 05:00:00,0.0
317,2020-06-24 06:00:00,0.0
318,2020-06-24 07:00:00,0.0
319,2020-06-24 08:00:00,0.0
320,2020-06-24 09:00:00,0.0
321,2020-06-24 10:00:00,0.0
322,2020-06-24 11:00:00,0.0
323,2020-06-24 12:00:00,0.0
324,2020-06-24 13:00:00,0.0
325,2020-06-24 14:00:00,0.0
326,2020-06-24 15:00:00,0.0
327,2020-06-24 16:00:00,0.0
328,2020-06-24 17:00:00,0.0
329,2020-06-24 18:00:00,0.0
330,2020-06-24 19:00:00,0.0
331,2020-06-24 20:00:00,0.0
332,2020-06-24 21:00:00,0.0
333,2020-06-24 22:00:00,0.0
334,2020-06-24 23:00:00,0.0
335,2020-06-25 00:00:00,0.0
336,2020-06-25 01:00:00,0.0
337,2020-06-25 02:00:00,0.0
338,2020-06-25 03:00:00,0.0
339,2020-06-25 04:00:00,0.0
340,2020-06-25 05:00:00,0.0
341,2020-06-25 06:00:00,-1.0
342,2020-06-25 07:00:00,-1.0
343,2020-06-25 08:00:00,0.0
344,2020-06-25 09:00:00,0.0
345,2020-06-25 10:00:00,-1.0
346,2020-06-25 11:00:00,-1.0
347,2020-06-25 12:00:00,0.0
348,2020-06-25 13:00:00,-1.0
349,2020-06-25 14:00:00,0.0
350,2020-06-25 15:00:00,-1.0
351,2020-06-25 16:00:00,-1.0
352,2020-06-25 17:00:00,-1.0
353,2020-06-25 18:00:00,-1.0
354,2020-06-25 19:00:00,0.0
355,2020-06-25 20:00:00,0.0
356,2020-06-25 21:00:00,0.0
357,2020-06-25 22:00:00,0.0
358,2020-06-25 23:00:00,0.0
359,2020-06-26 00:00:00,0.0
360,2020-06-26 01:00:00,0.0
361,2020-06-26 02:00:00,0.0
362,2020-06-26 03:00:00,0.0
363,2020-06-26 04:00:00,0.0
364,2020-06-26 05:00:00,0.0
365,2020-06-26 06:00:00,0.0
366,2020-06-26 07:00:00,0.0
367,2020-06-26 08:00:00,1.0
368,2020-06-26 09:00:00,1.0
369,2020-06-26 10:00:00,0.0
370,2020-06-26 11:00:00,0.0
371,2020-06-26 12:00:00,0.0
372,2020-06-26 13:00:00,0.0
373,2020-06-26 14:00:00,0.0
374,2020-06-26 15:00:00,0.0
375,2020-06-26 16:00:00,0.0
376,2020-06-26 17:00:00,0.0
377,2020-06-26 18:00:00,0.0
378,2020-06-26 19:00:00,0.0
379,2020-06-26 20:00:00,0.0
380,2020-06-26 21:00:00,0.0
381,2020-06-26 22:00:00,0.0
382,2020-06-26 23:00:00,0.0
383,2020-06-27 00:00:00,0.0
384,2020-06-27 01:00:00,0.0
385,2020-06-27 02:00:00,0.0
386,2020-06-27 03:00:00,0.0
387,2020-06-27 04:00:00,0.0
388,2020-06-27 05:00:00,0.0
389,2020-06-27 06:00:00,0.0
390,2020-06-27 07:00:00,0.0
391,2020-06-27 08:00:00,0.0
392,2020-06-27 09:00:00,0.0
393,2020-06-27 10:00:00,0.0
394,2020-06-27 11:00:00,0.0
395,2020-06-27 12:00:00,0.0
396,2020-06-27 13:00:00,1.0
397,2020-06-27 14:00:00,1.0
398,2020-06-27 15:00:00,0.0
399,2020-06-27 16:00:00,0.0
400,2020-06-27 17:00:00,1.0
401,2020-06-27 18:00:00,1.0
402,2020-06-27 19:00:00,1.0
403,2020-06-27 20:00:00,1.0
404,2020-06-27 21:00:00,1.0
405,2020-06-27 22:00:00,1.0
406,2020-06-27 23:00:00,0.0
407,2020-06-28 00:00:00,0.0
408,2020-06-28 01:00:00,0.0
409,2020-06-28 05:00:00,0.0
410,2020-06-28 06:00:00,0.0
411,2020-06-28 07:00:00,0.0
412,2020-06-28 08:00:00,0.0
413,2020-06-28 09:00:00,0.0
414,2020-06-28 10:00:00,0.0
415,2020-06-28 11:00:00,-1.0
416,2020-06-28 12:00:00,0.0
417,2020-06-28 13:00:00,-1.0
418,2020-06-28 14:00:00,-1.0
419,2020-06-28 15:00:00,0.0
420,2020-06-28 16:00:00,0.0
421,2020-06-28 17:00:00,0.0
422,2020-06-28 18:00:00,-1.0
423,2020-06-28 19:00:00,-1.0
424,2020-06-28 20:00:00,-1.0
425,2020-06-28 21:00:00,-1.0
426,2020-06-28 22:00:00,-1.0
427,2020-06-28 23:00:00,0.0
428,2020-06-29 00:00:00,0.0
429,2020-06-29 01:00:00,0.0
430,2020-06-29 02:00:00,-1.0
431,2020-06-29 03:00:00,-1.0
432,2020-06-29 04:00:00,-1.0
433,2020-06-29 05:00:00,0.0
434,2020-06-29 06:00:00,0.0
435,2020-06-29 07:00:00,0.0
436,2020-06-29 08:00:00,0.0
437,2020-06-29 09:00:00,0.0
438,2020-06-29 10:00:00,0.0
439,2020-06-29 11:00:00,0.0
440,2020-06-29 12:00:00,0.0
441,2020-06-29 13:00:00,0.0
442,2020-06-29 14:00:00,1.0
443,2020-06-29 15:00:00,1.0
444,2020-06-29 16:00:00,1.0
445,2020-06-29 17:00:00,1.0
446,2020-06-29 18:00:00,1.0
447,2020-06-29 19:00:00,0.0
448,2020-06-29 20:00:00,0.0
449,2020-06-29 21:00:00,0.0
450,2020-06-29 22:00:00,-1.0
451,2020-06-29 23:00:00,0.0
452,2020-06-30 00:00:00,0.0
453,2020-06-30 01:00:00,-1.0
454,2020-06-30 02:00:00,-1.0
455,2020-06-30 03:00:00,-1.0
456,2020-06-30 04:00:00,-1.0
457,2020-06-30 05:00:00,-1.0
458,2020-06-30 06:00:00,0.0
459,2020-06-30 07:00:00,0.0
460,2020-06-30 08:00:00,0.0
461,2020-06-30 09:00:00,0.0
462,2020-06-30 10:00:00,0.0
463,2020-06-30 11:00:00,0.0
464,2020-06-30 12:00:00,0.0
465,2020-06-30 13:00:00,0.0
466,2020-06-30 14:00:00,0.0
467,2020-06-30 15:00:00,0.0
468,2020-06-30 16:00:00,0.0
469,2020-06-30 17:00:00,0.0
470,2020-06-30 18:00:00,0.0
471,2020-06-30 19:00:00,0.0
472,2020-06-30 20:00:00,0.0
473,2020-06-30 21:00:00,0.0
474,2020-06-30 22:00:00,0.0
475,2020-06-30 23:00:00,0.0
476,2020-07-01 00:00:00,1.0
477,2020-07-01 01:00:00,1.0
478,2020-07-01 02:00:00,0.0
479,2020-07-01 03:00:00,0.0
480,2020-07-01 04:00:00,1.0
481,2020-07-01 05:00:00,1.0
482,2020-07-01 06:00:00,0.0
483,2020-07-01 07:00:00,0.0
484,2020-07-01 08:00:00,0.0
485,2020-07-01 09:00:00,0.0
486,2020-07-01 10:00:00,0.0
487,2020-07-01 11:00:00,0.0
488,2020-07-01 12:00:00,0.0
489,2020-07-01 13:00:00,0.0
490,2020-07-01 14:00:00,0.0
491,2020-07-01 15:00:00,0.0
492,2020-07-01 16:00:00,-1.0
493,2020-07-01 17:00:00,-1.0
494,2020-07-01 18:00:00,-1.0
495,2020-07-01 19:00:00,0.0
496,2020-07-01 20:00:00,0.0
497,2020-07-01 21:00:00,-1.0
498,2020-07-01 22:00:00,-1.0
499,2020-07-01 23:00:00,0.0
500,2020-07-02 00:00:00,0.0
501,2020-07-02 01:00:00,0.0
502,2020-07-02 02:00:00,-1.0
503,2020-07-02 03:00:00,0.0
504,2020-07-02 04:00:00,0.0
505,2020-07-02 05:00:00,-1.0
506,2020-07-02 06:00:00,-1.0
507,2020-07-02 07:00:00,0.0
508,2020-07-02 08:00:00,0.0
509,2020-07-02 09:00:00,0.0
510,2020-07-02 10:00:00,0.0
511,2020-07-02 11:00:00,0.0
512,2020-07-02 12:00:00,0.0
513,2020-07-02 13:00:00,0.0
514,2020-07-02 14:00:00,-1.0
515,2020-07-02 15:00:00,-1.0
516,2020-07-02 16:00:00,-1.0
517,2020-07-02 17:00:00,0.0
518,2020-07-02 18:00:00,0.0
519,2020-07-02 19:00:00,0.0
520,2020-07-02 20:00:00,0.0
521,2020-07-02 21:00:00,0.0
522,2020-07-02 22:00:00,0.0
523,2020-07-02 23:00:00,0.0
524,2020-07-03 00:00:00,-1.0
525,2020-07-03 01:00:00,0.0
526,2020-07-03 02:00:00,0.0
527,2020-07-03 03:00:00,0.0
528,2020-07-03 04:00:00,0.0
529,2020-07-03 05:00:00,0.0
530,2020-07-03 06:00:00,0.0
531,2020-07-03 07:00:00,0.0
532,2020-07-03 08:00:00,-1.0
533,2020-07-03 09:00:00,-1.0
534,2020-07-03 10:00:00,-1.0
535,2020-07-03 11:00:00,0.0
536,2020-07-03 12:00:00,-1.0
537,2020-07-03 13:00:00,0.0
538,2020-07-03 14:00:00,-1.0
539,2020-07-03 15:00:00,-1.0
540,2020-07-03 16:00:00,-1.0
541,2020-07-03 17:00:00,-1.0
542,2020-07-03 18:00:00,-1.0
543,2020-07-03 19:00:00,0.0
544,2020-07-03 20:00:00,0.0
545,2020-07-03 21:00:00,0.0
546,2020-07-03 22:00:00,1.0
547,2020-07-03 23:00:00,0.0
548,2020-07-04 00:00:00,1.0
549,2020-07-04 01:00:00,0.0
550,2020-07-04 02:00:00,0.0
551,2020-07-04 03:00:00,0.0
552,2020-07-04 04:00:00,0.0
553,2020-07-04 05:00:00,0.0
554,2020-07-04 06:00:00,0.0
555,2020-07-04 07:00:00,0.0
556,2020-07-04 08:00:00,0.0
557,2020-07-04 09:00:00,0.0
558,2020-07-04 10:00:00,0.0
559,2020-07-04 11:00:00,0.0
560,2020-07-04 12:00:00,0.0
561,2020-07-04 13:00:00,0.0
562,2020-07-04 14:00:00,0.0
563,2020-07-04 15:00:00,0.0
564,2020-07-04 16:00:00,0.0
565,2020-07-04 17:00:00,0.0
566,2020-07-04 18:00:00,0.0
567,2020-07-04 19:00:00,0.0
568,2020-07-04 20:00:00,-1.0
569,2020-07-04 21:00:00,-1.0
570,2020-07-04 22:00:00,-1.0
571,2020-07-04 23:00:00,0.0
572,2020-07-05 00:00:00,0.0
573,2020-07-05 01:00:00,0.0
574,2020-07-05 02:00:00,0.0
575,2020-07-05 03:00:00,0.0
576,2020-07-05 04:00:00,0.0
577,2020-07-05 05:00:00,0.0
578,2020-07-05 06:00:00,0.0
579,2020-07-05 07:00:00,0.0
580,2020-07-05 08:00:00,0.0
581,2020-07-05 09:00:00,0.0
582,2020-07-05 10:00:00,0.0
583,2020-07-05 11:00:00,1.0
584,2020-07-05 12:00:00,1.0
585,2020-07-05 13:00:00,1.0
586,2020-07-05 14:00:00,1.0
587,2020-07-05 15:00:00,1.0
588,2020-07-05 16:00:00,0.0
589,2020-07-05 17:00:00,0.0
590,2020-07-05 18:00:00,1.0
591,2020-07-05 19:00:00,1.0
592,2020-07-05 20:00:00,0.0
593,2020-07-05 21:00:00,0.0
594,2020-07-05 22:00:00,0.0
595,2020-07-05 23:00:00,0.0
596,2020-07-06 00:00:00,0.0
597,2020-07-06 01:00:00,0.0
598,2020-07-06 02:00:00,0.0
599,2020-07-06 03:00:00,-1.0
600,2020-07-06 04:00:00,0.0
601,2020-07-06 05:00:00,0.0
602,2020-07-06 06:00:00,-1.0
603,2020-07-06 07:00:00,-1.0
604,2020-07-06 08:00:00,-1.0
605,2020-07-06 09:00:00,-1.0
606,2020-07-06 10:00:00,-1.0
607,2020-07-06 11:00:00,-1.0
608,2020-07-06 12:00:00,-1.0
609,2020-07-06 13:00:00,-1.0
610,2020-07-06 14:00:00,-1.0
611,2020-07-06 15:00:00,1.0
612,2020-07-06 16:00:00,1.0
613,2020-07-06 17:00:00,1.0
614,2020-07-06 18:00:00,1.0
615,2020-07-06 19:00:00,1.0
616,2020-07-06 20:00:00,1.0
617,2020-07-06 21:00:00,0.0
618,2020-07-06 22:00:00,0.0
619,2020-07-06 23:00:00,0.0
620,2020-07-07 00:00:00,0.0
621,2020-07-07 01:00:00,0.0
622,2020-07-07 02:00:00,0.0
623,2020-07-07 03:00:00,-1.0
624,2020-07-07 04:00:00,-1.0
625,2020-07-07 05:00:00,0.0
626,2020-07-07 06:00:00,0.0
627,2020-07-07 07:00:00,-1.0
628,2020-07-07 08:00:00,0.0
629,2020-07-07 09:00:00,0.0
630,2020-07-07 10:00:00,0.0
631,2020-07-07 11:00:00,0.0
632,2020-07-07 12:00:00,0.0
633,2020-07-07 13:00:00,0.0
634,2020-07-07 14:00:00,0.0
635,2020-07-07 15:00:00,0.0
636,2020-07-07 16:00:00,0.0
637,2020-07-07 17:00:00,0.0
638,2020-07-07 18:00:00,0.0
639,2020-07-07 19:00:00,0.0
640,2020-07-07 20:00:00,0.0
641,2020-07-07 21:00:00,0.0
642,2020-07-07 22:00:00,0.0
643,2020-07-07 23:00:00,0.0
644,2020-07-08 00:00:00,0.0
645,2020-07-08 01:00:00,0.0
646,2020-07-08 02:00:00,0.0
647,2020-07-08 03:00:00,-1.0
648,2020-07-08 04:00:00,-1.0
649,2020-07-08 05:00:00,0.0
650,2020-07-08 06:00:00,0.0
651,2020-07-08 07:00:00,-1.0
652,2020-07-08 08:00:00,-1.0
653,2020-07-08 09:00:00,-1.0
654,2020-07-08 10:00:00,0.0
655,2020-07-08 11:00:00,0.0
656,2020-07-08 12:00:00,0.0
657,2020-07-08 13:00:00,0.0
658,2020-07-08 14:00:00,0.0
659,2020-07-08 15:00:00,0.0
660,2020-07-08 16:00:00,0.0
661,2020-07-08 17:00:00,0.0
662,2020-07-08 18:00:00,0.0
663,2020-07-08 19:00:00,0.0
664,2020-07-08 20:00:00,0.0
665,2020-07-08 21:00:00,0.0
666,2020-07-08 22:00:00,0.0
667,2020-07-08 23:00:00,0.0
668,2020-07-09 00:00:00,-1.0
669,2020-07-09 01:00:00,-1.0
670,2020-07-09 02:00:00,-1.0
671,2020-07-09 03:00:00,0.0
672,2020-07-09 04:00:00,0.0
673,2020-07-09 05:00:00,0.0
674,2020-07-09 06:00:00,0.0
675,2020-07-09 07:00:00,0.0
676,2020-07-09 08:00:00,0.0
677,2020-07-09 09:00:00,0.0
678,2020-07-09 10:00:00,0.0
679,2020-07-09 11:00:00,0.0
680,2020-07-09 12:00:00,0.0
681,2020-07-09 13:00:00,0.0
682,2020-07-09 14:00:00,0.0
683,2020-07-09 15:00:00,0.0
684,2020-07-09 16:00:00,0.0
685,2020-07-09 17:00:00,0.0
686,2020-07-09 18:00:00,0.0
687,2020-07-09 19:00:00,0.0
688,2020-07-09 20:00:00,0.0
689,2020-07-09 21:00:00,0.0
690,2020-07-09 22:00:00,0.0
691,2020-07-09 23:00:00,0.0
692,2020-07-10 00:00:00,-1.0
693,2020-07-10 01:00:00,-1.0
694,2020-07-10 02:00:00,-1.0
695,2020-07-10 03:00:00,-1.0
696,2020-07-10 04:00:00,-1.0
697,2020-07-10 05:00:00,-1.0
698,2020-07-10 06:00:00,-1.0
699,2020-07-10 07:00:00,1.0
700,2020-07-10 08:00:00,1.0
701,2020-07-10 09:00:00,1.0
702,2020-07-10 10:00:00,0.0
703,2020-07-10 11:00:00,0.0
704,2020-07-10 12:00:00,0.0
705,2020-07-10 13:00:00,1.0
706,2020-07-10 14:00:00,1.0
707,2020-07-10 15:00:00,1.0
708,2020-07-10 16:00:00,1.0
709,2020-07-10 17:00:00,0.0
710,2020-07-10 18:00:00,0.0
711,2020-07-10 19:00:00,-1.0
712,2020-07-10 20:00:00,-1.0
713,2020-07-10 21:00:00,-1.0
714,2020-07-10 22:00:00,0.0
715,2020-07-10 23:00:00,0.0
716,2020-07-11 00:00:00,0.0
717,2020-07-11 01:00:00,-1.0
